group,variable,value,,,
Adams,8/1,1,,,
Adams,8/2,1,,,
Adams,8/3,4,,,
Adams,8/4,1,,,
Adams,8/5,2,,,
Adams,8/6,,,,
Adams,8/7,,,,
Adams,8/8,1,,,
Adams,8/9,2,,,
Adams,8/10,2,,,
Adams,8/11,2,,,
Adams,8/12,3,,,
Adams,8/13,3,,,
Adams,8/14,3,,,
Adams,8/15,1,,,
Adams,8/16,2,,,
Adams,8/17,,,,
Adams,8/18,2,,,
Adams,8/19,2,,,
Adams,8/20,,,,
Adams,8/21,,,,
Adams,8/22,,,,
Adams,8/23,,,,
Adams,8/24,3,,,
Adams,8/25,4,,,
Adams,8/26,,,,
Adams,8/27,,,,
Adams,8/28,,,,
Adams,8/29,,,,
Adams,8/30,,,,
Adams,8/31,,,,
Adams,9/1,2,,,
Adams,9/2,1,,,
Adams,9/3,,,,
Adams,9/4,1,,,
Adams,9/5,,,,
Adams,9/6,1,,,
Adams,9/7,1,,,
Adams,9/8,,,,
Adams,9/9,,,,
Adams,9/10,6,,,
Adams,9/11,6,,,
Adams,9/12,4,,,
Adams,9/13,,,,
Adams,9/14,3,,,
Adams,9/15,1,,,
Adams,9/16,2,,,
Adams,9/17,2,,,
Adams,9/18,1,,,
Adams,9/19,2,,,
Adams,9/20,1,,,
Adams,9/21,3,,,
Adams,9/22,3,,,
Adams,9/23,1,,,
Adams,9/24,,,,
Adams,9/25,4,,,
Adams,9/26,2,,,
Adams,9/27,1,,,
Adams,9/28,3,,,
Adams,9/29,5,,,
Adams,9/30,2,,,
Adams,10/1,6,,,
Adams,10/2,5,,,
Adams,10/3,,,,
Adams,10/4,1,,,
Adams,10/5,3,,,
Adams,10/6,2,,,
Adams,10/7,4,,,
Adams,10/8,5,,,
Adams,10/9,8,,,
Adams,10/10,5,,,
Adams,10/11,2,,,
Adams,10/12,8,,,
Adams,10/13,1,,,
Adams,10/14,2,,,
Adams,10/15,6,,,
Adams,10/16,3,,,
Adams,10/17,4,,,
Adams,10/18,3,,,
Adams,10/19,1,,,
Adams,10/20,7,,,
Adams,10/21,8,,,
Adams,10/22,2,,,
Adams,10/23,10,,,
Adams,10/24,6,,,
Adams,10/25,1,,,
Adams,10/26,5,,,
Adams,10/27,12,,,
Adams,10/28,12,,,
Adams,10/29,11,,,
Adams,10/30,15,,,
Adams,10/31,9,,,
Adams,11/1,15,,,
Adams,11/2,12,,,
Adams,11/3,24,,,
Adams,11/4,19,,,
Adams,11/5,16,,,
Adams,11/6,25,,,
Adams,11/7,19,,,
Adams,11/8,26,,,
Adams,11/9,31,,,
Adams,11/10,26,,,
Adams,11/11,33,,,
Adams,11/12,30,,,
Adams,11/13,34,,,
Adams,11/14,22,,,
Adams,11/15,19,,,
Adams,11/16,26,,,
Adams,11/17,26,,,
Adams,11/18,26,,,
Adams,11/19,28,,,
Adams,11/20,33,,,
Adams,11/21,15,,,
Adams,11/22,18,,,
Adams,11/23,26,,,
Adams,11/24,17,,,
Adams,11/25,6,,,
Adams,11/26,10,,,
Adams,11/27,16,,,
Adams,11/28,5,,,
Adams,11/29,8,,,
Adams,11/30,15,,,
Adams,12/1,14,,,
Adams,12/2,20,,,
Adams,12/3,23,,,
Adams,12/4,13,,,
Adams,12/5,25,,,
Adams,12/6,11,,,
Adams,12/7,16,,,
Adams,12/8,22,,,
Adams,12/9,12,,,
Adams,12/10,21,,,
Adams,12/11,9,,,
Adams,12/12,11,,,
Adams,12/13,12,,,
Adams,12/14,15,,,
Adams,12/15,11,,,
Adams,12/16,10,,,
Adams,12/17,12,,,
Adams,12/18,19,,,
Adams,12/19,8,,,
Adams,12/20,11,,,
Adams,12/21,27,,,
Adams,12/22,18,,,
Adams,12/23,19,,,
Adams,12/24,15,,,
Adams,12/25,8,,,
Adams,12/26,18,,,
Adams,12/27,19,,,
Adams,12/28,14,,,
Adams,12/29,14,,,
Adams,12/30,21,,,
Adams,12/31,18,,,
Adams,1/1,17,,,
Adams,1/2,16,,,
Adams,1/3,23,,,
Adams,1/4,17,,,
Adams,1/5,21,,,
Adams,1/6,28,,,
Adams,1/7,15,,,
Adams,1/8,10,,,
Adams,1/9,6,,,
Adams,1/10,6,,,
Adams,1/11,25,,,
Adams,1/12,7,,,
Adams,1/13,5,,,
Adams,1/14,17,,,
Adams,1/15,2,,,
Adams,1/16,1,,,
Adams,1/17,,,,
Adams,1/18,,,,
Allen,8/1,8,,,
Allen,8/2,11,,,
Allen,8/3,17,,,
Allen,8/4,23,,,
Allen,8/5,11,,,
Allen,8/6,19,,,
Allen,8/7,13,,,
Allen,8/8,4,,,
Allen,8/9,18,,,
Allen,8/10,27,,,
Allen,8/11,30,,,
Allen,8/12,10,,,
Allen,8/13,19,,,
Allen,8/14,18,,,
Allen,8/15,12,,,
Allen,8/16,14,,,
Allen,8/17,34,,,
Allen,8/18,18,,,
Allen,8/19,17,,,
Allen,8/20,28,,,
Allen,8/21,14,,,
Allen,8/22,7,,,
Allen,8/23,10,,,
Allen,8/24,19,,,
Allen,8/25,30,,,
Allen,8/26,22,,,
Allen,8/27,9,,,
Allen,8/28,14,,,
Allen,8/29,6,,,
Allen,8/30,11,,,
Allen,8/31,11,,,
Allen,9/1,14,,,
Allen,9/2,11,,,
Allen,9/3,19,,,
Allen,9/4,10,,,
Allen,9/5,6,,,
Allen,9/6,13,,,
Allen,9/7,12,,,
Allen,9/8,6,,,
Allen,9/9,19,,,
Allen,9/10,8,,,
Allen,9/11,6,,,
Allen,9/12,5,,,
Allen,9/13,11,,,
Allen,9/14,14,,,
Allen,9/15,3,,,
Allen,9/16,17,,,
Allen,9/17,9,,,
Allen,9/18,6,,,
Allen,9/19,11,,,
Allen,9/20,9,,,
Allen,9/21,22,,,
Allen,9/22,8,,,
Allen,9/23,11,,,
Allen,9/24,18,,,
Allen,9/25,13,,,
Allen,9/26,12,,,
Allen,9/27,14,,,
Allen,9/28,19,,,
Allen,9/29,17,,,
Allen,9/30,15,,,
Allen,10/1,23,,,
Allen,10/2,22,,,
Allen,10/3,23,,,
Allen,10/4,18,,,
Allen,10/5,39,,,
Allen,10/6,25,,,
Allen,10/7,40,,,
Allen,10/8,33,,,
Allen,10/9,30,,,
Allen,10/10,39,,,
Allen,10/11,32,,,
Allen,10/12,53,,,
Allen,10/13,35,,,
Allen,10/14,51,,,
Allen,10/15,38,,,
Allen,10/16,37,,,
Allen,10/17,34,,,
Allen,10/18,34,,,
Allen,10/19,43,,,
Allen,10/20,56,,,
Allen,10/21,48,,,
Allen,10/22,50,,,
Allen,10/23,54,,,
Allen,10/24,37,,,
Allen,10/25,59,,,
Allen,10/26,61,,,
Allen,10/27,56,,,
Allen,10/28,73,,,
Allen,10/29,52,,,
Allen,10/30,72,,,
Allen,10/31,47,,,
Allen,11/1,59,,,
Allen,11/2,109,,,
Allen,11/3,72,,,
Allen,11/4,93,,,
Allen,11/5,91,,,
Allen,11/6,73,,,
Allen,11/7,79,,,
Allen,11/8,70,,,
Allen,11/9,168,,,
Allen,11/10,158,,,
Allen,11/11,130,,,
Allen,11/12,134,,,
Allen,11/13,111,,,
Allen,11/14,77,,,
Allen,11/15,63,,,
Allen,11/16,163,,,
Allen,11/17,118,,,
Allen,11/18,130,,,
Allen,11/19,107,,,
Allen,11/20,109,,,
Allen,11/21,69,,,
Allen,11/22,71,,,
Allen,11/23,165,,,
Allen,11/24,129,,,
Allen,11/25,136,,,
Allen,11/26,41,,,
Allen,11/27,92,,,
Allen,11/28,78,,,
Allen,11/29,91,,,
Allen,11/30,134,,,
Allen,12/1,111,,,
Allen,12/2,97,,,
Allen,12/3,106,,,
Allen,12/4,108,,,
Allen,12/5,67,,,
Allen,12/6,56,,,
Allen,12/7,127,,,
Allen,12/8,98,,,
Allen,12/9,98,,,
Allen,12/10,95,,,
Allen,12/11,104,,,
Allen,12/12,65,,,
Allen,12/13,72,,,
Allen,12/14,119,,,
Allen,12/15,101,,,
Allen,12/16,75,,,
Allen,12/17,101,,,
Allen,12/18,96,,,
Allen,12/19,61,,,
Allen,12/20,50,,,
Allen,12/21,68,,,
Allen,12/22,71,,,
Allen,12/23,74,,,
Allen,12/24,65,,,
Allen,12/25,50,,,
Allen,12/26,38,,,
Allen,12/27,79,,,
Allen,12/28,107,,,
Allen,12/29,85,,,
Allen,12/30,60,,,
Allen,12/31,78,,,
Allen,1/1,45,,,
Allen,1/2,88,,,
Allen,1/3,70,,,
Allen,1/4,123,,,
Allen,1/5,71,,,
Allen,1/6,76,,,
Allen,1/7,70,,,
Allen,1/8,43,,,
Allen,1/9,45,,,
Allen,1/10,29,,,
Allen,1/11,49,,,
Allen,1/12,51,,,
Allen,1/13,41,,,
Allen,1/14,52,,,
Allen,1/15,60,,,
Allen,1/16,12,,,
Allen,1/17,2,,,
Allen,1/18,,,,
Ashland,8/1,3,,,
Ashland,8/2,1,,,
Ashland,8/3,1,,,
Ashland,8/4,5,,,
Ashland,8/5,2,,,
Ashland,8/6,1,,,
Ashland,8/7,,,,
Ashland,8/8,2,,,
Ashland,8/9,1,,,
Ashland,8/10,1,,,
Ashland,8/11,,,,
Ashland,8/12,1,,,
Ashland,8/13,3,,,
Ashland,8/14,,,,
Ashland,8/15,,,,
Ashland,8/16,,,,
Ashland,8/17,,,,
Ashland,8/18,,,,
Ashland,8/19,2,,,
Ashland,8/20,,,,
Ashland,8/21,,,,
Ashland,8/22,1,,,
Ashland,8/23,,,,
Ashland,8/24,4,,,
Ashland,8/25,,,,
Ashland,8/26,2,,,
Ashland,8/27,1,,,
Ashland,8/28,1,,,
Ashland,8/29,3,,,
Ashland,8/30,2,,,
Ashland,8/31,2,,,
Ashland,9/1,1,,,
Ashland,9/2,1,,,
Ashland,9/3,,,,
Ashland,9/4,3,,,
Ashland,9/5,1,,,
Ashland,9/6,1,,,
Ashland,9/7,4,,,
Ashland,9/8,3,,,
Ashland,9/9,4,,,
Ashland,9/10,6,,,
Ashland,9/11,3,,,
Ashland,9/12,3,,,
Ashland,9/13,4,,,
Ashland,9/14,7,,,
Ashland,9/15,4,,,
Ashland,9/16,6,,,
Ashland,9/17,2,,,
Ashland,9/18,4,,,
Ashland,9/19,4,,,
Ashland,9/20,,,,
Ashland,9/21,2,,,
Ashland,9/22,2,,,
Ashland,9/23,4,,,
Ashland,9/24,7,,,
Ashland,9/25,4,,,
Ashland,9/26,14,,,
Ashland,9/27,5,,,
Ashland,9/28,7,,,
Ashland,9/29,13,,,
Ashland,9/30,5,,,
Ashland,10/1,10,,,
Ashland,10/2,5,,,
Ashland,10/3,5,,,
Ashland,10/4,3,,,
Ashland,10/5,10,,,
Ashland,10/6,7,,,
Ashland,10/7,12,,,
Ashland,10/8,4,,,
Ashland,10/9,6,,,
Ashland,10/10,2,,,
Ashland,10/11,4,,,
Ashland,10/12,8,,,
Ashland,10/13,5,,,
Ashland,10/14,7,,,
Ashland,10/15,4,,,
Ashland,10/16,6,,,
Ashland,10/17,5,,,
Ashland,10/18,8,,,
Ashland,10/19,15,,,
Ashland,10/20,7,,,
Ashland,10/21,15,,,
Ashland,10/22,9,,,
Ashland,10/23,14,,,
Ashland,10/24,12,,,
Ashland,10/25,10,,,
Ashland,10/26,10,,,
Ashland,10/27,7,,,
Ashland,10/28,11,,,
Ashland,10/29,12,,,
Ashland,10/30,13,,,
Ashland,10/31,12,,,
Ashland,11/1,13,,,
Ashland,11/2,21,,,
Ashland,11/3,22,,,
Ashland,11/4,28,,,
Ashland,11/5,30,,,
Ashland,11/6,24,,,
Ashland,11/7,17,,,
Ashland,11/8,18,,,
Ashland,11/9,44,,,
Ashland,11/10,55,,,
Ashland,11/11,45,,,
Ashland,11/12,22,,,
Ashland,11/13,42,,,
Ashland,11/14,27,,,
Ashland,11/15,34,,,
Ashland,11/16,40,,,
Ashland,11/17,51,,,
Ashland,11/18,50,,,
Ashland,11/19,36,,,
Ashland,11/20,44,,,
Ashland,11/21,32,,,
Ashland,11/22,21,,,
Ashland,11/23,39,,,
Ashland,11/24,43,,,
Ashland,11/25,34,,,
Ashland,11/26,19,,,
Ashland,11/27,43,,,
Ashland,11/28,39,,,
Ashland,11/29,29,,,
Ashland,11/30,52,,,
Ashland,12/1,81,,,
Ashland,12/2,45,,,
Ashland,12/3,40,,,
Ashland,12/4,56,,,
Ashland,12/5,39,,,
Ashland,12/6,19,,,
Ashland,12/7,47,,,
Ashland,12/8,54,,,
Ashland,12/9,44,,,
Ashland,12/10,45,,,
Ashland,12/11,47,,,
Ashland,12/12,29,,,
Ashland,12/13,22,,,
Ashland,12/14,48,,,
Ashland,12/15,52,,,
Ashland,12/16,46,,,
Ashland,12/17,37,,,
Ashland,12/18,41,,,
Ashland,12/19,23,,,
Ashland,12/20,37,,,
Ashland,12/21,44,,,
Ashland,12/22,36,,,
Ashland,12/23,35,,,
Ashland,12/24,32,,,
Ashland,12/25,12,,,
Ashland,12/26,41,,,
Ashland,12/27,27,,,
Ashland,12/28,63,,,
Ashland,12/29,40,,,
Ashland,12/30,44,,,
Ashland,12/31,32,,,
Ashland,1/1,12,,,
Ashland,1/2,21,,,
Ashland,1/3,26,,,
Ashland,1/4,55,,,
Ashland,1/5,26,,,
Ashland,1/6,39,,,
Ashland,1/7,33,,,
Ashland,1/8,33,,,
Ashland,1/9,26,,,
Ashland,1/10,23,,,
Ashland,1/11,34,,,
Ashland,1/12,39,,,
Ashland,1/13,29,,,
Ashland,1/14,24,,,
Ashland,1/15,19,,,
Ashland,1/16,10,,,
Ashland,1/17,11,,,
Ashland,1/18,2,,,
Ashtabula,8/1,,,,
Ashtabula,8/2,6,,,
Ashtabula,8/3,6,,,
Ashtabula,8/4,3,,,
Ashtabula,8/5,4,,,
Ashtabula,8/6,8,,,
Ashtabula,8/7,2,,,
Ashtabula,8/8,2,,,
Ashtabula,8/9,2,,,
Ashtabula,8/10,1,,,
Ashtabula,8/11,3,,,
Ashtabula,8/12,,,,
Ashtabula,8/13,2,,,
Ashtabula,8/14,1,,,
Ashtabula,8/15,1,,,
Ashtabula,8/16,2,,,
Ashtabula,8/17,1,,,
Ashtabula,8/18,,,,
Ashtabula,8/19,1,,,
Ashtabula,8/20,,,,
Ashtabula,8/21,,,,
Ashtabula,8/22,3,,,
Ashtabula,8/23,1,,,
Ashtabula,8/24,2,,,
Ashtabula,8/25,3,,,
Ashtabula,8/26,4,,,
Ashtabula,8/27,2,,,
Ashtabula,8/28,2,,,
Ashtabula,8/29,3,,,
Ashtabula,8/30,5,,,
Ashtabula,8/31,,,,
Ashtabula,9/1,3,,,
Ashtabula,9/2,,,,
Ashtabula,9/3,1,,,
Ashtabula,9/4,,,,
Ashtabula,9/5,1,,,
Ashtabula,9/6,1,,,
Ashtabula,9/7,,,,
Ashtabula,9/8,2,,,
Ashtabula,9/9,3,,,
Ashtabula,9/10,4,,,
Ashtabula,9/11,3,,,
Ashtabula,9/12,2,,,
Ashtabula,9/13,1,,,
Ashtabula,9/14,5,,,
Ashtabula,9/15,2,,,
Ashtabula,9/16,1,,,
Ashtabula,9/17,3,,,
Ashtabula,9/18,1,,,
Ashtabula,9/19,1,,,
Ashtabula,9/20,1,,,
Ashtabula,9/21,1,,,
Ashtabula,9/22,2,,,
Ashtabula,9/23,1,,,
Ashtabula,9/24,2,,,
Ashtabula,9/25,2,,,
Ashtabula,9/26,,,,
Ashtabula,9/27,4,,,
Ashtabula,9/28,4,,,
Ashtabula,9/29,3,,,
Ashtabula,9/30,2,,,
Ashtabula,10/1,2,,,
Ashtabula,10/2,2,,,
Ashtabula,10/3,,,,
Ashtabula,10/4,2,,,
Ashtabula,10/5,1,,,
Ashtabula,10/6,2,,,
Ashtabula,10/7,2,,,
Ashtabula,10/8,4,,,
Ashtabula,10/9,1,,,
Ashtabula,10/10,2,,,
Ashtabula,10/11,7,,,
Ashtabula,10/12,8,,,
Ashtabula,10/13,4,,,
Ashtabula,10/14,3,,,
Ashtabula,10/15,3,,,
Ashtabula,10/16,4,,,
Ashtabula,10/17,5,,,
Ashtabula,10/18,5,,,
Ashtabula,10/19,6,,,
Ashtabula,10/20,10,,,
Ashtabula,10/21,15,,,
Ashtabula,10/22,9,,,
Ashtabula,10/23,8,,,
Ashtabula,10/24,9,,,
Ashtabula,10/25,15,,,
Ashtabula,10/26,27,,,
Ashtabula,10/27,32,,,
Ashtabula,10/28,24,,,
Ashtabula,10/29,26,,,
Ashtabula,10/30,17,,,
Ashtabula,10/31,25,,,
Ashtabula,11/1,51,,,
Ashtabula,11/2,31,,,
Ashtabula,11/3,55,,,
Ashtabula,11/4,59,,,
Ashtabula,11/5,82,,,
Ashtabula,11/6,39,,,
Ashtabula,11/7,38,,,
Ashtabula,11/8,106,,,
Ashtabula,11/9,87,,,
Ashtabula,11/10,103,,,
Ashtabula,11/11,100,,,
Ashtabula,11/12,82,,,
Ashtabula,11/13,34,,,
Ashtabula,11/14,39,,,
Ashtabula,11/15,126,,,
Ashtabula,11/16,67,,,
Ashtabula,11/17,87,,,
Ashtabula,11/18,84,,,
Ashtabula,11/19,73,,,
Ashtabula,11/20,39,,,
Ashtabula,11/21,40,,,
Ashtabula,11/22,109,,,
Ashtabula,11/23,54,,,
Ashtabula,11/24,27,,,
Ashtabula,11/25,10,,,
Ashtabula,11/26,53,,,
Ashtabula,11/27,23,,,
Ashtabula,11/28,13,,,
Ashtabula,11/29,100,,,
Ashtabula,11/30,34,,,
Ashtabula,12/1,65,,,
Ashtabula,12/2,54,,,
Ashtabula,12/3,39,,,
Ashtabula,12/4,17,,,
Ashtabula,12/5,26,,,
Ashtabula,12/6,65,,,
Ashtabula,12/7,48,,,
Ashtabula,12/8,45,,,
Ashtabula,12/9,48,,,
Ashtabula,12/10,36,,,
Ashtabula,12/11,21,,,
Ashtabula,12/12,21,,,
Ashtabula,12/13,68,,,
Ashtabula,12/14,35,,,
Ashtabula,12/15,38,,,
Ashtabula,12/16,38,,,
Ashtabula,12/17,30,,,
Ashtabula,12/18,19,,,
Ashtabula,12/19,20,,,
Ashtabula,12/20,66,,,
Ashtabula,12/21,36,,,
Ashtabula,12/22,42,,,
Ashtabula,12/23,17,,,
Ashtabula,12/24,2,,,
Ashtabula,12/25,27,,,
Ashtabula,12/26,32,,,
Ashtabula,12/27,60,,,
Ashtabula,12/28,46,,,
Ashtabula,12/29,37,,,
Ashtabula,12/30,36,,,
Ashtabula,12/31,15,,,
Ashtabula,1/1,31,,,
Ashtabula,1/2,17,,,
Ashtabula,1/3,55,,,
Ashtabula,1/4,37,,,
Ashtabula,1/5,46,,,
Ashtabula,1/6,25,,,
Ashtabula,1/7,29,,,
Ashtabula,1/8,15,,,
Ashtabula,1/9,19,,,
Ashtabula,1/10,35,,,
Ashtabula,1/11,35,,,
Ashtabula,1/12,34,,,
Ashtabula,1/13,17,,,
Ashtabula,1/14,5,,,
Ashtabula,1/15,,,,
Ashtabula,1/16,3,,,
Ashtabula,1/17,,,,
Ashtabula,1/18,,,,
Auglaize,8/1,2,,,
Auglaize,8/2,10,,,
Auglaize,8/3,7,,,
